"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "Markdown", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\VerifyCodeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 13, 16, 172
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\form\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\AddressListModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 1, 5, 112
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\AddressModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 233, 0, 3, 27, 263
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\AdminReviewModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 168, 0, 2, 11, 181
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ArticleReviewEditModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 10, 17, 165
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\BirthdateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 8, 57
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\BrandModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 358, 0, 10, 24, 392
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\BrandUpdateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 272, 0, 2, 24, 298
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\CanceledModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 181, 0, 4, 11, 196
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\CategoryDetailModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 7, 15, 127
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\CategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 256, 0, 14, 25, 295
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\CategoryUpdateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 302, 0, 28, 29, 359
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ConfirmDeleteModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 2, 8, 69
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ConfirmUpdateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 21, 7, 65
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\FeatureModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 2, 11, 182
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\FeatureValueModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 212, 0, 0, 14, 226
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\FeaturesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 165, 0, 4, 11, 180
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\FilterModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 3, 9, 46
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ProductScaleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 9, 5, 84
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\RedirectToLogin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 4, 8, 45
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ReturnedModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 181, 0, 4, 11, 196
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ReviewArticleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 10, 20, 142
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ReviewEditModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 394, 0, 14, 36, 444
"d:\Venda_Full\front-end\Venda-front2\vendamode\src\components\modals\ReviewModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 330, 0, 14, 37, 381
